title,description,price,sku,category
Lowepro Slingshot Edge 250 AW,"Made for urban environments, the Slingshot Edge 250 AW is designed to keep your powerful and compact DSLR kit within quick reach. And your go-to tablet, smartphone, headphones, wallet and other essentials well organized.
Designed for smooth operation and extra security. Rotate sling to front, unzip side-access pocket and grab kit to shoot. Body-side access to main compartment deters theft while you're on the go.
You're free to move about with ease thanks to the incredibly slim design, padded backpad and stability strap. The ideal sling for a day of touring, photo walking and/or commuting.
Get protection for your photo and personal gear inside and out. Slingshot Edge includes a fully adjustable and padded divider system for gear, and a built-in All Weather AW Cover™ to protect it from the elements.
Keep your favorite devices with you! A separate, CradleFit™ pocket keeps your tablet safe from impact. A roomy open zone for personal gear holds a smartphone, headphones, wallet, keys and other non-photo essentials.
A rugged and durable molded grab handle at top provides a second carry option.
Stay hydrated throughout your day and use the stretch side pocket to hold a water bottle or other quick-grab item.
Sling includes two removable straps with quick-release buckles for adding capacity.
The fast-access side pocket includes a zipper path from front to back so you can capture a shot in moments.",£109.95,LOWEPRO-BAG-250,Bags
Lowepro Pro Roller x300 AW,"We've taken our award-winning, proven roller to the next level with the Pro Roller x-Series AW. Its patent-pending MaxFit System™ makes it easy to customize and maximize the amount of pro-sized gear you can fit and travel with.
MaxFit System™, patent-pending interior dividers design provides ease of use and the maximum capacity — all while offering superior protection
Long-wearing, ballistic nylon hardshell exterior offers high-impact protection
Vibration-absorbing, urethane-case wheels with ABEC-5 rated bearings provide a smooth glide and long-lasting durability
The Reserve Pack unzips from the hardshell case to provide additional versatility as needed
Dual-button trolley handle and comfortable grab handles with leather backing add extra convenience when transporting gear from point A to point B
A patented, built-in All Weather AW Cover™ may be deployed from back pocket to protect valuable gear from the elements
Compact, TSA-approved lock with locking zippers offers an easy-to-use security system
A no-drop front organization pockets provides space for all types of travel and personal essentials — from a passport to smartphone, keys to notebooks and more
An easy-access, deep laptop pocket is located in the front for added convenience
A roomy, interior storage panel is constructed with see-through mesh pockets for quick identification of accessories like cables, filters, chargers, etc.
Removable tripod straps at side of case.",£499.95,LOWEPRO-BAG-X300,Bags
Lowepro ProTactic 350 AW,"The ProTactic 350 AW delivers high performance to pro photographers who need an urban-inspired pack that delivers on all fronts: accessibility, versatility, comfort and organization.
Never miss a critical mission thanks four access points: the molded, turret-loading top, quick-grab from both sides, and full, back entry for set-up and security
Create limitless set-ups with a robust, SlipLock™ compatible strap system
Get versatile with five modular accessories – water bottle pouch, accessory case, tripod cup and two cinch straps – all SlipLock-compatible and included with pack
ProTactic features ActivZone System™ technology to deliver targeted support at shoulder blades, lumbar and waist for comfort on the move
Remove waistbelt to reduce profile for packing or travel; wear it for extra support and storage – two zippered hip pockets offer space for quick-grab items
Pack the maximum amount of gear and micro-adjust for a snug and secure fit with the patent-pending MaxFit System™ of padded and adjustable dividers
Store your laptop in the CradleFit pocket that suspends and protects your device within the pack
Keep accessories neat, organized and easy to access with multiple interior and exterior pockets
Safeguard valuable gear with the patented, built-in All Weather AW Cover™ that protects pack from the elements
Add a tripod or monopod with cinch straps and tripod cup accessories (included)",£199.95,LOWEPRO-BAG-350,Bags
Stripy Top,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£24.00,N/A,T-shirts
Red Checked Shirt,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£52.00,N/A,Shirts
Patterned Tshirt,None,£23.00,N/A,T-shirts
Green Vest,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£22.00,N/A,T-shirts
Denim Shirt,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£37.00£29.00,None,Shirts
Checked Shirt,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£58.00,N/A,Shirts
Checked Hoodie,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£42.00,N/A,Hoodies
Blue Tshirt,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£24.00,N/A,T-shirts
Blue Shoes,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£45.00,N/A,Footwear
Blue Checked Shirt,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£45.00,N/A,Shirts
Black Trousers,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£32.00,N/A,Trousers
Beanie Hat,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£12.00,None,Hats
Brown Trousers,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£42.00,N/A,Trousers
Black Trousers,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£42.00,N/A,Trousers
Floral Dress,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£72.00,N/A,Dresses
Blue Trousers,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£42.00,N/A,Trousers
Green Trousers,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£42.00,N/A,Trousers
White Floral Dress,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£98.00,N/A,Dresses
Blue Floral Dress,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£72.00,N/A,Dresses
Navy Floral Dress,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£72.00,N/A,Dresses
Checkered Skirt,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£57.00,N/A,Skirts
Grey Trousers,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£32.00,N/A,Trousers
Brown Skirt,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£48.00,N/A,Skirts
Blue Skirt,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£48.00,N/A,Skirts
Red Skirt,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£48.00,N/A,Skirts
Burgundy Skirt (Variable Product),"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£48.00,N/A,Skirts
Navy Dress,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£72.00,N/A,Dresses
Grey Dress,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£72.00,N/A,Dresses
Black Dress,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£72.00,N/A,Dresses
Pink Blouse,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",£32.00,N/A,Blouses
